City,State,lat,lon
Thane,Maharashtra,19.2183,72.9781
Avadi,Tamil Nadu,13.1067,80.097
Bangalore,Karnataka,12.9716,77.5946
Thrissur (My Hometown),Kerala,10.527642,76.214432
New Delhi,Delhi,28.7041,77.1025
